Country,Debt type,Year,per_GDP
Ireland,private,2013,307.01016
Ireland,public,2013,123.73751
Ireland,private,2012,324.42782
Ireland,public,2012,123.42142
Jamaica,private,2004,58.351521
Jamaica,public,2004,123.25395
Jamaica,private,2002,41.053695
Jamaica,public,2002,122.23924
Jamaica,private,2006,63.552385
Jamaica,public,2006,121.0697
Bhutan,private,2020,68.938669
Bhutan,public,2020,120.74349
Iceland,private,2013,330.08224
Iceland,public,2013,120.185
Italy,private,2012,126.88237
Italy,public,2012,120.03119
Mozambique,private,2016,30.961609
Mozambique,public,2016,119.88048
Barbados,private,2019,178.99855
Barbados,public,2019,119.60866
Portugal,private,2019,160.37387
Portugal,public,2019,119.51457
Cyprus,private,2012,328.35509
Cyprus,public,2012,119.4284
Italy,private,1994,61.424793
Italy,public,1994,119.40166
Jamaica,private,2007,70.939995
Jamaica,public,2007,118.24894
Argentina,private,2004,30.59583
Argentina,public,2004,117.87785
Italy,private,1995,69.97105
Italy,public,1995,117.70205
Italy,private,1996,68.203344
Italy,public,1996,117.62121
Japan,private,2003,171.11044
Japan,public,2003,117.50051
Bhutan,private,2016,51.021843
Bhutan,public,2016,117.27526
Belgium,private,1995,106.36993
Belgium,public,1995,116.60981
Jordan,private,1995,74.450289
Jordan,public,1995,116.13859
Israel,private,1992,78.013323
Israel,public,1992,115.93593
Cabo Verde,private,2014,62.573551
Cabo Verde,public,2014,115.92352
Belgium,private,1993,110.25304
Belgium,public,1993,115.49525
Jamaica,private,2016,96.50442
Jamaica,public,2016,115.43462
Bulgaria,private,1991,59.522089
Bulgaria,public,1991,115.2
Italy,private,1997,67.766033
Italy,public,1997,115.05206
Jordan,private,1996,74.971625
Jordan,public,1996,115.01794
Iceland,private,2014,325.16685
Iceland,public,2014,114.85132
Israel,private,1993,85.376217
Israel,public,1993,114.37643
Ireland,private,2011,326.49503
Ireland,public,2011,114.33067
Belgium,private,1996,110.44482
Belgium,public,1996,114.05023
Bulgaria,private,1996,52.031372
Bulgaria,public,1996,113.84201
Italy,private,2011,124.72003
Italy,public,2011,113.19086
Belgium,private,1994,110.92563
Belgium,public,1994,112.6987
Italy,private,2010,125.62125
Italy,public,2010,112.47503
Italy,private,1993,64.314461
Italy,public,1993,112.39705
Italy,private,1998,68.105713
Italy,public,1998,112.2715
El Salvador,private,1985,64.493288
El Salvador,public,1985,112.06756
Portugal,private,2011,223.2013
Portugal,public,2011,111.97857
Bhutan,private,2017,53.679726
Bhutan,public,2017,111.72426
Belgium,private,1997,117.55592
Belgium,public,1997,111.36919
Dominica,private,2020,49.337832
Dominica,public,2020,111.31797
Eritrea,private,1998,34.681016
Eritrea,public,1998,111.16383
Jordan,private,1998,73.843273
Jordan,public,1998,110.85402
Singapore,private,2018,149.45661
Singapore,public,2018,110.74789
Italy,private,1999,75.48364
Italy,public,1999,110.65526
Jamaica,private,2001,35.144023
Jamaica,public,2001,110.65212
Bhutan,private,2018,59.453049
Bhutan,public,2018,110.46472
Japan,private,2002,179.08443
Japan,public,2002,110.00109
Italy,private,2009,124.99353
Italy,public,2009,109.79923
Lebanon,private,1984,192.96561
Lebanon,public,1984,109.30785
Greece,private,2008,114.71444
Greece,public,2008,109.21981
Jordan,private,1999,75.838424
Jordan,public,1999,109.14051
Singapore,private,2017,154.74292
Singapore,public,2017,109.06459
Argentina,private,1989,88.294879
Argentina,public,1989,109.04335
Greece,private,2005,87.1751
Greece,public,2005,109.03758
Belgium,private,1992,106.26649
Belgium,public,1992,108.96866
Singapore,private,2016,159.60325
Singapore,public,2016,108.82306
Ireland,private,2014,311.25047
Ireland,public,2014,108.52316
Lebanon,private,1998,81.417
Lebanon,public,1998,108.23249
Grenada,private,2013,74.25666
Grenada,public,2013,108.05938
Iceland,private,2008,614.08458
Iceland,public,2008,107.95905
Jordan,private,1997,75.287142
Jordan,public,1997,107.75972
Spain,private,2020,170.15896
Spain,public,2020,107.5485
Singapore,private,2012,142.75007
Singapore,public,2012,107.51031
Jamaica,private,2020,92.050567
Jamaica,public,2020,107.36704
Belgium,private,1998,123.7439
Belgium,public,1998,106.86688
Belgium,private,1991,96.405627
Belgium,public,1991,106.79022
Bhutan,private,2019,66.395034
Bhutan,public,2019,106.60777
Singapore,private,2009,129.30671
Singapore,public,2009,106.40023
Israel,private,1994,89.615399
Israel,public,1994,106.29811
Jamaica,private,1993,58.912996
Jamaica,public,1993,106.19177
Italy,private,2000,79.407465
Italy,public,2000,105.94663
Belgium,private,1988,86.007681
Belgium,public,1988,105.62963
Italy,private,2001,82.782241
Italy,public,2001,105.6013
Greece,private,2004,74.924251
Greece,public,2004,105.27379
Ireland,private,1987,81.465663
Ireland,public,1987,104.73908
Greece,private,2006,94.041403
Greece,public,2006,104.71873
Singapore,private,2011,127.72406
Singapore,public,2011,104.49802
Belgium,private,1990,93.179052
Belgium,public,1990,104.23628
Belgium,private,1987,81.982617
Belgium,public,1987,104.17481
Greece,private,1996,36.795278
Greece,public,1996,104.10757
Belgium,private,1999,136.27108
Belgium,public,1999,103.87444
São Tomé and Príncipe,private,2007,30.359789
São Tomé and Príncipe,public,2007,103.80844
Belgium,private,1989,92.038488
Belgium,public,1989,103.78114
Greece,private,2007,103.07716
Greece,public,2007,103.74114
United Kingdom,private,2020,170.34974
United Kingdom,public,2020,103.49894
Grenada,private,2012,82.804814
Grenada,public,2012,103.33766
Cyprus,private,2011,325.38744
Cyprus,public,2011,103.15881
Italy,private,2002,85.270148
Italy,public,2002,103.15212
Jamaica,private,2017,91.863791
Jamaica,public,2017,103.01187
Saudi Arabia,private,1999,36.482912
Saudi Arabia,public,1999,102.99172
Singapore,private,2015,160.14232
Singapore,public,2015,102.95959
Italy,private,1992,63.896961
Italy,public,1992,102.63747
Cabo Verde,private,2013,63.392018
Cabo Verde,public,2013,102.48988
Greece,private,2002,65.602596
Greece,public,2002,102.48954
El Salvador,private,1984,48.548303
El Salvador,public,1984,102.35461
Bhutan,private,2013,48.516558
Bhutan,public,2013,102.28224
Ireland,private,1986,79.671299
Ireland,public,1986,102.09594
Ireland,private,1988,79.996114
Ireland,public,1988,101.84464
Grenada,private,2014,65.206336
Grenada,public,2014,101.76427
Singapore,private,2003,140.59809
Singapore,public,2003,101.75937
Greece,private,1995,36.249851
Greece,public,1995,101.6657
Italy,private,2005,99.083645
Italy,public,2005,101.5311
Saudi Arabia,private,1998,42.945172
Saudi Arabia,public,1998,101.52323
Singapore,private,2010,122.70571
Singapore,public,2010,101.27925
Italy,private,2003,89.41215
Italy,public,2003,101.21791
Lebanon,private,1996,74.679971
Lebanon,public,1996,101.1863
Japan,private,2001,182.87096
Japan,public,2001,100.98861
Italy,private,2006,105.25322
Italy,public,2006,100.76826
Greece,private,1997,39.017443
Greece,public,1997,100.7269
Grenada,private,2011,84.876021
Grenada,public,2011,100.68904
Italy,private,2004,93.311726
Italy,public,2004,100.65133
Italy,private,2008,116.47487
Italy,public,2008,100.41617
Jamaica,private,1992,53.400238
Jamaica,public,1992,100.38146
Lebanon,private,1997,76.198551
Lebanon,public,1997,100.27393
Greece,private,2003,69.728179
Greece,public,2003,100.23456
Greece,private,1994,35.593776
Greece,public,1994,100.08624
Belgium,private,1986,79.92703
Belgium,public,1986,100.07125
Lebanon,private,1990,98.590233
Lebanon,public,1990,99.727834
Jordan,private,1987,63.973185
Jordan,public,1987,99.434519
Greece,private,2000,54.74278
Greece,public,2000,99.378216
Dominica,private,2002,48.168852
Dominica,public,2002,99.360355
Jordan,private,2000,75.760958
Jordan,public,2000,99.2612
Singapore,private,2014,161.3238
Singapore,public,2014,99.259402
Singapore,private,2013,156.19192
Singapore,public,2013,99.031232
Belgium,private,2000,146.20167
Belgium,public,2000,98.932427
Bhutan,private,2014,47.734493
Bhutan,public,2014,98.833768
Bhutan,private,2015,48.693352
Bhutan,public,2015,98.56505
Dominica,private,2003,45.377322
Dominica,public,2003,98.220077
Greece,private,1998,42.313576
Greece,public,1998,98.177842
Belgium,private,2001,152.16487
Belgium,public,2001,98.156128
Italy,private,2007,112.96388
Italy,public,2007,97.816962
Singapore,private,2004,126.22585
Singapore,public,2004,97.597527
Dominica,private,2001,47.855449
Dominica,public,2001,97.490291
Portugal,private,2010,217.99469
Portugal,public,2010,97.413964
Greece,private,1999,45.72667
Greece,public,1999,97.367714
Singapore,private,2002,135.68228
Singapore,public,2002,97.223022
Grenada,private,2010,83.97994
Grenada,public,2010,96.936934
Greece,private,2001,61.881254
Greece,public,2001,96.572348
Singapore,private,2008,127.73276
Singapore,public,2008,96.44771
Saudi Arabia,private,2002,36.108358
Saudi Arabia,public,2002,96.35186
El Salvador,private,1987,42.42297
El Salvador,public,1987,96.316115
Cyprus,private,2004,222.5275
Cyprus,public,2004,96.251436
Italy,private,1991,60.508686
Italy,public,1991,96.001283
Cyprus,private,2005,249.52133
Cyprus,public,2005,95.884122
Jordan,private,2002,74.833153
Jordan,public,2002,95.752925
Cyprus,private,2003,258.26956
Cyprus,public,2003,95.689287
Jamaica,private,2018,87.049747
Jamaica,public,2018,95.597961
Belgium,private,2020,233.14331
Belgium,public,2020,95.344178
Iceland,private,2015,281.04886
Iceland,public,2015,95.308952
Belgium,private,2002,149.18556
Belgium,public,2002,95.297067
Belgium,private,1985,80.893463
Belgium,public,1985,95.032381
Singapore,private,2005,121.84402
Singapore,public,2005,94.966788
Malaysia,private,1987,77.62684
Malaysia,public,1987,94.74171
Jamaica,private,2019,93.67468
Jamaica,public,2019,94.735498
Grenada,private,2004,61.617994
Grenada,public,2004,94.69362
Malaysia,private,1986,86.346931
Malaysia,public,1986,94.609283
Jordan,private,2001,78.948693
Jordan,public,2001,94.542653
Greece,private,1993,35.002303
Greece,public,1993,94.54235
Israel,private,1995,92.308022
Israel,public,1995,94.499731
Japan,private,2000,187.62011
Japan,public,2000,94.177705
Singapore,private,2001,145.45649
Singapore,public,2001,93.936375
Jamaica,private,2000,64.136819
Jamaica,public,2000,93.687124
Saint Lucia,private,2020,72.812656
Saint Lucia,public,2020,93.483183
France,private,2020,237.38842
France,public,2020,93.440331
Italy,private,1990,58.422607
Italy,public,1990,93.411212
Saudi Arabia,private,2001,35.056953
Saudi Arabia,public,2001,93.147598
Ireland,private,1985,81.211663
Ireland,public,1985,93.105478
Grenada,private,2006,64.876729
Grenada,public,2006,92.923461
Brazil,private,2020,90.816138
Brazil,public,2020,92.91657
El Salvador,private,1986,39.644975
El Salvador,public,1986,92.898002
Israel,private,1998,106.19794
Israel,public,1998,92.811383
Cyprus,private,2010,314.50696
Cyprus,public,2010,92.704321
Israel,private,1996,94.411095
Israel,public,1996,92.691063
Ireland,private,1989,75.543184
Ireland,public,1989,92.618476
Cyprus,private,2002,277.33285
Cyprus,public,2002,92.068342
Ireland,private,1984,81.485151
Ireland,public,1984,91.951173
Grenada,private,2009,79.377269
Grenada,public,2009,91.094365
Cabo Verde,private,2012,63.630026
Cabo Verde,public,2012,91.092431
Israel,private,1997,98.609508
Israel,public,1997,91.013589
Cyprus,private,2006,252.78217
Cyprus,public,2006,90.57028
Jamaica,private,1994,55.302449
Jamaica,public,1994,90.414461
Israel,private,2003,120.34816
Israel,public,2003,90.401896
Grenada,private,2015,57.321429
Grenada,public,2015,90.099984
Belgium,private,2014,207.07487
Belgium,public,2014,90.035583
Ireland,private,2010,321.34343
Ireland,public,2010,89.841071
Malaysia,private,1988,74.928144
Malaysia,public,1988,89.82031
Belgium,private,2013,205.31536
Belgium,public,2013,89.611332
Italy,private,1989,54.804722
Italy,public,1989,89.551848
Singapore,private,2007,115.32698
Singapore,public,2007,89.447102
Sri Lanka,private,2004,28.068379
Sri Lanka,public,2004,89.412095
Singapore,private,2006,113.62252
Singapore,public,2006,89.370246
Sri Lanka,private,2003,25.917982
Sri Lanka,public,2003,89.361611
Belgium,private,2003,155.6609
Belgium,public,2003,89.333608
Jordan,private,2003,72.564409
Jordan,public,2003,89.305534
Dominica,private,2019,40.132082
Dominica,public,2019,89.179147
Belgium,private,2016,229.2133
Belgium,public,2016,89.150052
Cyprus,private,2009,306.30877
Cyprus,public,2009,89.092393
Israel,private,2004,119.83296
Israel,public,2004,89.070652
Grenada,private,2007,68.79338
Grenada,public,2007,89.056235
Belgium,private,2012,205.69845
Belgium,public,2012,88.969768
Belgium,private,2015,208.92388
Belgium,public,2015,88.826068
Dominica,private,2018,46.369278
Dominica,public,2018,88.483238
Belgium,private,2011,200.81789
Belgium,public,2011,88.46737
Chile,private,1986,62.331401
Chile,public,1986,88.391965
Japan,private,1999,196.46581
Japan,public,1999,88.121135
Singapore,private,1999,119.30049
Singapore,public,1999,87.860515
Israel,private,2002,123.95497
Israel,public,2002,87.843241
Belgium,private,1984,83.913884
Belgium,public,1984,87.842949
Pakistan,private,2020,27.390216
Pakistan,public,2020,87.563061
Cyprus,private,2001,274.24432
Cyprus,public,2001,87.497867
Indonesia,private,2000,30.419126
Indonesia,public,2000,87.437299
Mozambique,private,2015,31.885972
Mozambique,public,2015,87.42596
Spain,private,2014,190.42521
Spain,public,2014,87.330945
Grenada,private,2005,57.966498
Grenada,public,2005,87.31234
Spain,private,2015,177.89614
Spain,public,2015,87.165233
Ireland,private,1983,83.004851
Ireland,public,1983,87.129108
Israel,private,1999,110.38486
Israel,public,1999,87.095105
Spain,private,2017,160.44831
Spain,public,2017,87.054369
Spain,private,2018,154.18842
Spain,public,2018,87.034544
Belgium,private,2017,216.66734
Belgium,public,2017,86.983934
Spain,private,2016,169.22915
Spain,public,2016,86.939275
Italy,private,1988,51.65398
Italy,public,1988,86.926514
Croatia,private,2020,133.71448
Croatia,public,2020,86.819491
Sri Lanka,private,2019,59.357459
Sri Lanka,public,2019,86.802004
Jamaica,private,1999,57.306703
Jamaica,public,1999,86.754987
Saudi Arabia,private,2000,31.652375
Saudi Arabia,public,2000,86.702013
Hungary,private,1993,46.977768
Hungary,public,1993,86.611382
Uruguay,private,2003,45.461443
Uruguay,public,2003,86.567829
Belgium,private,2009,204.38707
Belgium,public,2009,86.494186
Ireland,private,1990,81.068598
Ireland,public,1990,86.301016
Israel,private,2005,125.08103
Israel,public,2005,86.108894
Lebanon,private,1985,122.20215
Lebanon,public,1985,86.06688
Dominica,private,2004,45.454802
Dominica,public,2004,85.81775
Belgium,private,2010,190.52404
Belgium,public,2010,85.766646
United Kingdom,private,2015,155.90603
United Kingdom,public,2015,85.752857
United Kingdom,private,2016,159.892
United Kingdom,public,2016,85.723252
Cabo Verde,private,2005,33.385837
Cabo Verde,public,2005,85.338579
Pakistan,private,2019,26.980128
Pakistan,public,2019,85.299571
Spain,private,2019,149.89967
Spain,public,2019,85.281907
United Kingdom,private,2017,162.45924
United Kingdom,public,2017,85.250467
Jamaica,private,1995,60.257537
Jamaica,public,1995,85.212773
Cyprus,private,2000,304.96083
Cyprus,public,2000,85.208174
United Kingdom,private,2014,158.37908
United Kingdom,public,2014,85.123467
Belgium,private,2004,158.52368
Belgium,public,2004,85.088606
Hungary,private,1994,49.259389
Hungary,public,1994,85.062964
Portugal,private,2009,215.38807
Portugal,public,2009,84.937326
Dominica,private,2005,48.586222
Dominica,public,2005,84.935068
El Salvador,private,1989,39.314548
El Salvador,public,1989,84.934134
Belgium,private,2018,211.2264
Belgium,public,2018,84.906054
Cyprus,private,2007,267.8695
Cyprus,public,2007,84.880924
United Kingdom,private,2018,161.1241
United Kingdom,public,2018,84.720785
Italy,private,1987,49.547384
Italy,public,1987,84.671023
El Salvador,private,1988,41.242077
El Salvador,public,1988,84.666125
Iceland,private,2003,236.11852
Iceland,public,2003,84.505887
Uruguay,private,2002,71.362939
Uruguay,public,2002,84.336925
United Kingdom,private,2019,156.09931
United Kingdom,public,2019,84.279351
Sri Lanka,private,2018,57.397061
Sri Lanka,public,2018,84.209436
Bulgaria,private,1995,36.131029
Bulgaria,public,1995,84.049258
Singapore,private,1987,85.108768
Singapore,public,1987,84.027926
Ireland,private,1991,87.581184
Ireland,public,1991,83.916993
Grenada,private,2008,70.076901
Grenada,public,2008,83.913062
Belgium,private,2005,156.85837
Belgium,public,2005,83.855475
Singapore,private,2000,116.83815
Singapore,public,2000,83.842171
Cabo Verde,private,2004,32.629493
Cabo Verde,public,2004,83.744573
Hungary,private,1995,44.95238
Hungary,public,1995,83.528042
Greece,private,1992,36.720565
Greece,public,1992,83.487357
Singapore,private,1998,118.87925
Singapore,public,1998,83.414799
Belgium,private,2019,208.71284
Belgium,public,2019,83.254084
Spain,private,2013,202.03901
Spain,public,2013,83.250475
United Kingdom,private,2013,166.70567
United Kingdom,public,2013,83.247769
Croatia,private,2014,140.25769
Croatia,public,2014,83.214336
Jordan,private,1985,65.628031
Jordan,public,1985,83.161625
Indonesia,private,1999,33.439047
Indonesia,public,1999,83.031204
Croatia,private,2015,137.5374
Croatia,public,2015,82.836408
Belgium,private,2008,192.09278
Belgium,public,2008,82.738484
Iceland,private,2001,208.85667
Iceland,public,2001,82.718313
Singapore,private,1986,89.093608
Singapore,public,1986,82.638466
Cabo Verde,private,2000,26.469806
Cabo Verde,public,2000,82.636759
Cabo Verde,private,2002,29.319155
Cabo Verde,public,2002,82.548422
Brazil,private,2019,81.048311
Brazil,public,2019,82.483357
Belgium,private,1983,87.773245
Belgium,public,1983,82.429375
Jordan,private,1986,62.46803
Jordan,public,1986,82.270963
United Kingdom,private,2012,173.27135
United Kingdom,public,2012,82.207423
Lebanon,private,1986,147.73069
Lebanon,public,1986,82.111396
Dominica,private,2017,49.295801
Dominica,public,2017,82.072036
Singapore,private,1992,85.659186
Singapore,public,1992,82.069947
Sri Lanka,private,2000,26.268594
Sri Lanka,public,2000,81.869663
Qatar,private,1999,68.888656
Qatar,public,1999,81.845911
Ireland,private,1992,91.120818
Ireland,public,1992,81.787947
Ireland,private,1993,94.210895
Ireland,public,1993,81.740703
Chile,private,1987,57.938911
Chile,public,1987,81.597699
Grenada,private,2016,53.722784
Grenada,public,2016,81.568465
Saudi Arabia,private,2003,34.342711
Saudi Arabia,public,2003,81.564302
Iceland,private,2016,249.87711
Iceland,public,2016,81.549177
Jordan,private,2004,75.55911
Jordan,public,2004,81.547702
Cabo Verde,private,2003,30.873541
Cabo Verde,public,2003,81.358895
Israel,private,2001,118.87621
Israel,public,2001,81.339722
France,private,2019,210.98557
France,public,2019,81.058075
São Tomé and Príncipe,private,2012,35.557365
São Tomé and Príncipe,public,2012,81.036875
Ukraine,private,2016,94.928473
Ukraine,public,2016,80.899968
Belgium,private,2006,159.07163
Belgium,public,2006,80.866121
Ireland,private,1981,85.279873
Ireland,public,1981,80.70385
France,private,2018,206.18756
France,public,2018,80.611652
Sweden,private,1997,137.23007
Sweden,public,1997,80.550039
Iceland,private,2002,202.56457
Iceland,public,2002,80.484347
Dominica,private,2006,50.414862
Dominica,public,2006,80.446791
Sri Lanka,private,1995,28.948185
Sri Lanka,public,1995,80.427129
Italy,private,1986,48.663531
Italy,public,1986,80.402285
Brazil,private,2018,77.91645
Brazil,public,2018,80.359371
Sri Lanka,private,1999,27.013254
Sri Lanka,public,1999,80.311914
Ireland,private,2015,334.72475
Ireland,public,2015,79.982727
Cabo Verde,private,2001,26.592936
Cabo Verde,public,2001,79.913842
Australia,private,1953,52.325687
Australia,public,1953,79.872659
Chile,private,1985,75.363396
Chile,public,1985,79.776957
Sweden,private,1998,141.90033
Sweden,public,1998,79.740185
France,private,2017,200.94923
France,public,2017,79.739096
Croatia,private,2013,141.22775
Croatia,public,2013,79.703725
Malaysia,private,1989,82.900394
Malaysia,public,1989,79.669841
